FIPS,hospitals,icu_beds
26101,1,0
26103,2,30
26105,1,6
26107,1,4
26109,0,0
26111,1,26
26113,0,0
26115,1,0
26117,4,12
26119,0,0
26121,1,37
26123,1,9
26125,12,409
26127,1,0
26129,1,10
26131,1,0
26133,1,4
26135,0,0
26137,1,4
26139,3,22
26141,0,0
26143,0,0
26145,3,133
26147,3,23
26149,2,8
26151,3,0
26153,1,0
26155,1,7
26157,2,0
26159,2,0
26161,4,92
26163,14,586
26165,1,6
27001,1,4
27003,1,35
27005,1,8
27007,2,10
27009,0,0
27011,2,0
27013,1,29
27015,3,0
27017,2,6
27019,1,25
27021,1,0
27023,1,0
27025,1,10
27027,0,0
27029,1,0
27031,1,0
27033,2,0
27035,2,16
27037,2,12
27039,0,0
27041,1,8
27043,1,4
27045,0,0
27047,1,18
27049,2,4
27051,1,0
27053,8,311
27055,0,0
27057,1,0
27059,1,0
27061,3,9
27063,1,0
27065,1,4
27067,1,8
27069,1,0
27071,1,0
27073,2,0
27075,1,0
27077,1,0
27079,1,0
27081,2,0
27083,2,0
27085,2,6
27087,1,0
27089,1,0
27091,1,0
27093,1,0
27095,2,4
27097,1,6
27099,0,0
27101,1,0
27103,1,0
27105,1,0
27107,1,0
27109,2,218
27111,2,5
27113,1,0
27115,1,0
27117,1,0
27119,2,5
27121,1,0
27123,4,135
27125,0,0
27127,1,0
27129,1,0
27131,2,4
27133,1,0
27135,1,0
27137,8,179
27139,2,0
27141,0,0
27143,1,0
27145,4,41
27147,1,0
27149,1,0
27151,2,0
27153,2,3
27155,1,0
27157,2,0
27159,1,2
27161,1,0
27163,2,31
27165,2,0
27167,1,0
27169,1,8
27171,2,3
27173,2,0
28001,1,15
28003,1,24
28005,0,0
28007,1,0
28009,0,0
28011,1,8
28013,1,0
28015,0,0
28017,1,0
28019,1,0
28021,1,0
28023,1,0
28025,1,6
28027,1,10
28029,1,0
28031,1,0
28033,2,44
28035,1,48
28037,1,0
28039,1,6
28041,2,0
28043,1,5
28045,1,6
28047,3,57
28049,5,218
28051,1,0
28053,0,0
28055,0,0
28057,0,0
28059,1,48
28061,1,0
28063,1,0
28065,1,0
28067,1,14
28069,1,0
28071,1,24
28073,1,17
28075,4,51
28077,1,0
28079,1,0
28081,1,42
28083,1,9
28085,1,5
28087,1,18
28089,1,7
28091,1,6
28093,1,0
28095,2,9
28097,1,0
28099,3,0
28101,0,0
28103,1,0
28105,1,6
28107,1,0
28109,2,6
28111,0,0
28113,2,28
28115,1,0
28117,1,11
28119,1,0
28121,4,18
28123,2,0
28125,1,0
28127,2,0
28129,1,0
28131,1,0
28133,2,0
28135,1,0
28137,1,0
28139,1,0
28141,1,0
28143,0,0
28145,1,8
28147,1,0
28149,1,22
28151,1,22
28153,1,6
28155,1,0
28157,1,0
28159,1,0
28161,1,0
28163,1,0
29001,1,10
29003,0,0
29005,1,0
29007,1,0
29009,2,0
29011,1,4
29013,1,0
29015,0,0
29017,0,0
29019,2,110
29021,1,21
29023,2,14
29025,0,0
29027,1,0
29029,1,18
29031,2,32
29033,1,0
29035,0,0
29037,2,9
29039,1,0
29041,0,0
29043,0,0
29045,0,0
29047,3,172
29049,1,5
29051,2,25
29053,1,0
29055,0,0
29057,0,0
29059,0,0
29061,0,0
29063,0,0
29065,1,0
29067,0,0
29069,0,0
29071,2,13
29073,1,0
29075,1,0
29077,2,163
29079,1,0
29081,1,0
29083,1,8
29085,0,0
29087,0,0
29089,0,0
29091,2,12
29093,1,0
29095,9,274
29097,3,88
29099,2,67
29101,1,0
29103,0,0
29105,1,4
29107,1,2
29109,1,0
29111,0,0
29113,1,4
29115,1,0
29117,1,0
29119,0,0
29121,1,0
29123,1,0
29125,0,0
29127,1,8
29129,0,0
29131,0,0
29133,0,0
29135,0,0
29137,0,0
29139,0,0
29141,0,0
29143,0,0
29145,1,0
29147,1,0
29149,0,0
29151,0,0
29153,0,0
29155,1,7
29157,1,0
29159,1,9
29161,1,18
29163,1,0
29165,1,0
29167,1,8
29169,0,0
29171,1,0
29173,0,0
29175,1,8
29177,1,0
29179,0,0
29181,0,0
29183,4,39
29185,1,0
29186,1,0
29187,2,10
29189,9,468
29195,2,7
29197,0,0
29199,1,0
29201,1,12
29203,0,0
29205,0,0
29207,1,4
29209,0,0
29211,1,0
29213,1,18
29215,1,4
29217,1,6
29219,0,0
29221,1,0
29223,0,0
29225,0,0
29227,0,0
29229,0,0
29510,3,207
30001,1,0
30003,2,0
30005,1,0
30007,1,0
30009,1,0
30011,1,0
30013,2,20
30015,2,0
30017,1,4
30019,1,0
30021,1,3
30023,1,0
30025,1,0
30027,1,0
30029,3,22
30031,2,8
30033,1,0
30035,2,0
30037,0,0
30039,1,0
30041,1,6
30043,0,0
30045,0,0
30047,2,0
30049,1,8
30051,1,0
30053,1,0
30055,1,0
30057,2,0
30059,1,0
30061,1,0
30063,2,32
30065,1,0
30067,1,4
30069,0,0
30071,1,0
30073,1,0
30075,0,0
30077,1,0
30079,1,0
30081,1,5
30083,1,0
30085,3,0
30087,1,1
30089,1,0
30091,1,0
30093,1,11
30095,1,0
30097,1,0
30099,1,0
30101,1,0
30103,0,0
30105,1,0
30107,1,0
30109,0,0
30111,2,41
31001,1,10
31003,1,0
31005,0,0
31007,0,0
31009,0,0
31011,1,0
31013,1,0
31015,1,0
31017,1,0
31019,2,34
31021,1,0
31023,1,0
31025,0,0
31027,0,0
31029,1,0
31031,1,0
31033,1,4
31035,0,0
31037,1,0
31039,1,0
31041,2,0
31043,0,0
31045,1,0
31047,3,0
31049,0,0
31051,0,0
31053,1,0
31055,8,187
31057,1,0
31059,1,0
31061,1,0
31063,0,0
31065,1,0
31067,1,3
31069,1,0
31071,0,0
