FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
39139,"11,178","33,722","24,708","15,081",13.2,39.8,29.2,17.8
39141,"7,216","22,986","15,049","9,030",13.3,42.3,27.7,16.6
39143,"3,993","17,290","13,056","6,545",9.8,42.3,31.9,16
39145,"8,026","22,172","14,712","7,909",15.2,42,27.9,15
39147,"3,283","17,094","11,084","5,639",8.8,46.1,29.9,15.2
39149,"3,208","13,771","9,767","5,636",9.9,42.5,30.2,17.4
39151,"22,563","97,990","79,824","59,146",8.7,37.8,30.8,22.8
39153,"31,983","115,730","109,619","121,428",8.4,30.6,28.9,32.1
39155,"15,747","64,608","36,963","26,566",10.9,44.9,25.7,18.5
39157,"9,061","29,307","15,602","10,125",14.1,45.7,24.3,15.8
39159,"2,781","12,750","9,498","12,308",7.4,34.1,25.4,33
39161,"1,736","8,923","5,557","3,131",9,46.1,28.7,16.2
39163,"1,850","4,232","2,020","1,051",20.2,46.2,22.1,11.5
39165,"9,904","39,228","38,397","64,179",6.5,25.9,25.3,42.3
39167,"3,917","18,030","12,930","8,301",9.1,41.8,29.9,19.2
39169,"10,710","30,089","18,829","16,682",14,39.4,24.7,21.9
39171,"2,686","11,117","7,949","3,834",10.5,43.4,31.1,15
39173,"4,755","24,954","23,986","26,607",5.9,31.1,29.9,33.1
39175,"1,402","7,086","4,426","2,413",9.1,46.2,28.9,15.7
40000,"313,788","806,407","805,736","648,070",12.2,31.3,31.3,25.2
40001,"2,837","6,539","3,313","1,662",19.8,45.6,23.1,11.6
40003,568,"1,681","1,186",867,13.2,39.1,27.6,20.2
40005,"1,681","3,934","2,622","1,452",17.3,40.6,27.1,15
40007,573,"1,306","1,034",715,15.8,36,28.5,19.7
40009,"1,935","5,729","4,671","2,588",13,38.4,31.3,17.3
40011,"1,232","2,428","2,217","1,170",17.5,34.5,31.5,16.6
40013,"4,273","9,782","9,522","6,981",14,32,31.2,22.8
40015,"2,819","7,747","5,705","3,163",14.5,39.9,29.4,16.3
40017,"6,955","26,595","32,516","24,204",7.7,29.5,36,26.8
40019,"4,046","11,696","9,770","6,625",12.6,36.4,30.4,20.6
40021,"4,503","9,536","8,714","7,604",14.8,31.4,28.7,25
40023,"1,887","4,010","3,024","1,251",18.6,39.4,29.7,12.3
40025,213,580,416,354,13.6,37.1,26.6,22.6
40027,"14,082","44,938","59,386","56,913",8,25.6,33.9,32.5
40029,626,"1,575",913,665,16.6,41.7,24.2,17.6
40031,"8,012","24,826","27,109","17,447",10.4,32.1,35,22.5
40033,576,"1,766","1,190",536,14.2,43.4,29.3,13.2
40035,"1,367","4,074","3,220","1,509",13.4,40.1,31.7,14.8
40037,"6,393","19,554","14,433","7,885",13.2,40.5,29.9,16.3
40039,"2,404","5,213","5,054","4,338",14.1,30.6,29.7,25.5
40041,"4,875","10,803","9,324","5,329",16.1,35.6,30.7,17.6
40043,232,"1,265",926,787,7.2,39.4,28.8,24.5
40045,358,"1,091",813,565,12.7,38.6,28.8,20
40047,"4,785","14,893","11,751","9,072",11.8,36.8,29,22.4
40049,"2,671","8,396","4,846","2,703",14.3,45.1,26,14.5
40051,"3,971","14,665","10,974","7,279",10.8,39.8,29.7,19.7
40053,300,"1,049",975,699,9.9,34.7,32.3,23.1
40055,676,"1,561","1,454",574,15.8,36.6,34.1,13.5
40057,446,453,620,412,23.1,23.5,32.1,21.3
40059,470,812,773,580,17.8,30.8,29.3,22
40061,"1,581","3,242","2,563","1,277",18.3,37.4,29.6,14.7
40063,"1,704","3,633","2,735","1,200",18.4,39.2,29.5,12.9
40065,"2,784","4,480","5,559","3,383",17.2,27.6,34.3,20.9
40067,725,"1,672","1,255",588,17.1,39.4,29.6,13.9
40069,"1,198","2,651","2,327","1,281",16.1,35.6,31.2,17.2
40071,"3,981","9,697","10,344","5,661",13.4,32.7,34.8,19.1
40073,"1,317","3,588","2,841","2,389",13,35.4,28,23.6
40075,"1,019","2,263","1,870","1,088",16.3,36.3,30,17.4
40077,869,"2,572","2,435","1,223",12.2,36.2,34.3,17.2
40079,"5,880","13,555","9,153","5,089",17.5,40.3,27.2,15.1
40081,"3,242","9,292","7,585","3,573",13.7,39.2,32,15.1
40083,"2,964","9,683","9,213","8,331",9.8,32.1,30.5,27.6
40085,"1,042","2,822","1,774",955,15.8,42.8,26.9,14.5
40087,"2,591","8,534","8,310","6,220",10.1,33.3,32.4,24.2
40089,"3,702","9,519","5,761","2,887",16.9,43.5,26.3,13.2
40091,"2,043","6,081","4,246","2,050",14.2,42.2,29.4,14.2
40093,616,"2,119","1,495","1,019",11.7,40.4,28.5,19.4
40095,"2,155","3,978","3,332","1,767",19.2,35.4,29.7,15.7
40097,"3,726","10,877","9,169","4,049",13.4,39.1,33,14.6
40099,"1,587","3,610","2,664","1,781",16.5,37.4,27.6,18.5
40101,"6,854","16,633","13,452","8,947",14.9,36.2,29.3,19.5
40103,792,"3,096","2,233","1,636",10.2,39.9,28.8,21.1
40105,788,"3,263","2,360",771,11,45.4,32.9,10.7
40107,"1,716","3,192","2,396",958,20.8,38.6,29,11.6
