name,level,city,county,state,country_code,population,lat,long,url,aggregate,tz,cases,deaths,recovered,active,tested,growthFactor,date,country,location
"Qinghai, China",state,,,Qinghai,China,5930000.0,35.408,96.2355,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,18.0,,18.0,,,,2020-04-10,,Qinghai
"Qinghai, China",state,,,Qinghai,China,5930000.0,35.408,96.2355,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,18.0,,18.0,,,,2020-04-11,,Qinghai
"Shaanxi, China",state,,,Shaanxi,China,37327378.0,35.63800000000001,108.3685,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,256.0,3.0,246.0,7.0,,,2020-04-10,,Shaanxi
"Shaanxi, China",state,,,Shaanxi,China,37327378.0,35.63800000000001,108.3685,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,256.0,3.0,246.0,7.0,,,2020-04-11,,Shaanxi
"Shandong, China",state,,,Shandong,China,95793065.0,36.3805,118.7625,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,783.0,7.0,756.0,20.0,,,2020-04-10,,Shandong
"Shandong, China",state,,,Shandong,China,95793065.0,36.3805,118.7625,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,783.0,7.0,756.0,20.0,,,2020-04-11,,Shandong
"Shanghai, China",state,,,Shanghai,China,23390000.0,31.281,121.5455,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,555.0,7.0,435.0,113.0,,,2020-04-10,,Shanghai
"Shanghai, China",state,,,Shanghai,China,23390000.0,31.281,121.5455,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,555.0,7.0,435.0,113.0,,,2020-04-11,,Shanghai
"Shanxi, China",state,,,Shanxi,China,36500000.0,37.6645,112.39299999999999,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,168.0,,134.0,34.0,,,2020-04-10,,Shanxi
"Shanxi, China",state,,,Shanxi,China,36500000.0,37.6645,112.39299999999999,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,168.0,,134.0,34.0,,,2020-04-11,,Shanxi
"Sichuan, China",state,,,Sichuan,China,81100000.0,30.18,102.9485,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,560.0,3.0,546.0,11.0,,,2020-04-10,,Sichuan
"Sichuan, China",state,,,Sichuan,China,81100000.0,30.18,102.9485,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,560.0,3.0,546.0,11.0,,,2020-04-11,,Sichuan
"Tianjin, China",state,,,Tianjin,China,13245000.0,39.4035,117.3785,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,183.0,3.0,158.0,22.0,,,2020-04-10,,Tianjin
"Tianjin, China",state,,,Tianjin,China,13245000.0,39.4035,117.3785,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,183.0,3.0,158.0,22.0,,,2020-04-11,,Tianjin
"Tibet, China",state,,,Tibet,China,3180000.0,31.8945,88.75450000000002,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1.0,,1.0,,,,2020-04-10,,Tibet
"Tibet, China",state,,,Tibet,China,3180000.0,31.8945,88.75450000000002,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1.0,,1.0,,,,2020-04-11,,Tibet
"Xinjiang, China",state,,,Xinjiang,China,21813334.0,41.7555,84.9435,https://github.com/CSSEGISandData/COVID-19,state,"Asia/Urumqi,Asia/Shanghai",76.0,3.0,73.0,,,,2020-04-10,,Xinjiang
"Xinjiang, China",state,,,Xinjiang,China,21813334.0,41.7555,84.9435,https://github.com/CSSEGISandData/COVID-19,state,"Asia/Urumqi,Asia/Shanghai",76.0,3.0,73.0,,,,2020-04-11,,Xinjiang
"Yunnan, China",state,,,Yunnan,China,47420000.0,25.184,101.8585,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,184.0,2.0,173.0,9.0,,,2020-04-10,,Yunnan
"Yunnan, China",state,,,Yunnan,China,47420000.0,25.184,101.8585,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,184.0,2.0,173.0,9.0,,,2020-04-11,,Yunnan
"Zhejiang, China",state,,,Zhejiang,China,56570000.0,29.1135,120.589,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1267.0,1.0,1235.0,31.0,,,2020-04-10,,Zhejiang
"Zhejiang, China",state,,,Zhejiang,China,56570000.0,29.1135,120.589,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1267.0,1.0,1235.0,31.0,,,2020-04-11,,Zhejiang
Colombia,country,,,,Colombia,49065615.0,5.8279999999999985,-74.3535,https://github.com/CSSEGISandData/COVID-19,country,America/Bogota,2473.0,80.0,197.0,2196.0,,,2020-04-10,,
Colombia,country,,,,Colombia,49065615.0,5.8279999999999985,-74.3535,https://github.com/CSSEGISandData/COVID-19,country,America/Bogota,2473.0,80.0,197.0,2196.0,,,2020-04-11,,
Congo-Brazzaville,country,,,,Congo-Brazzaville,5260750.0,-0.6660000000000001,14.884999999999998,https://github.com/CSSEGISandData/COVID-19,country,Africa/Brazzaville,60.0,5.0,5.0,50.0,,,2020-04-10,,
