FIPS,hospitals,icu_beds,total_pop,60plus,
28021,1,0,9106,1890,
28023,1,0,16089,4038,
28025,1,6,19990,4730,
28027,1,10,24296,4799,
28029,1,0,28748,6493,
28031,1,0,19172,4312,
28033,2,44,173267,29708,
28035,1,48,75835,13870,
28037,1,0,7772,2064,
28039,1,6,23545,4774,
28041,2,0,13801,2497,
28043,1,5,21379,4746,
28045,1,6,46277,11941,
28047,3,57,200491,38987,
28049,5,218,243249,44090,
28051,1,0,18267,3568,
28053,0,0,8678,1849,
28055,0,0,1296,285,
28057,0,0,23439,5355,
28059,1,48,141314,28610,
28061,1,0,16547,4371,
28063,1,0,7463,1641,
28065,1,0,11639,3162,
28067,1,14,68328,14853,
28069,1,0,10082,2367,
28071,1,24,52744,8639,
28073,1,17,60517,10854,
28075,4,51,78221,17686,
28077,1,0,12659,3005,
28079,1,0,22936,4515,
28081,1,42,84840,16183,
28083,1,9,30113,5674,
28085,1,5,34542,7781,
28087,1,18,59558,12035,
28089,1,7,102212,18766,
28091,1,6,25466,5805,
28093,1,0,35981,7858,
28095,2,9,35967,9309,
28097,1,0,10309,2723,
28099,3,0,29437,5993,
28101,0,0,21437,4496,
28103,1,0,10942,2193,
28105,1,6,49392,7290,
28107,1,0,34229,7047,
28109,2,6,55049,13434,
28111,0,0,12047,2963,
28113,2,28,39763,8664,
28115,1,0,31075,6065,
28117,1,11,25389,6023,
28119,1,0,7537,1751,
28121,4,18,149645,29151,
28123,2,0,28399,5665,
28125,1,0,4631,994,
28127,2,0,27215,6069,
28129,1,0,16114,3931,
28131,1,0,17981,3849,
28133,2,0,26915,4684,
28135,1,0,14552,2813,
28137,1,0,28333,5924,
28139,1,0,21993,4899,
28141,1,0,19476,5209,
28143,0,0,10276,1747,
28145,1,8,28202,6249,
28147,1,0,14670,3582,
28149,1,22,47510,10588,
28151,1,22,48002,9825,
28153,1,6,20458,4447,
28155,1,0,9868,2204,
28157,1,0,9084,2046,
28159,1,0,18482,4963,
28161,1,0,12426,3373,
28163,1,0,27496,4778,
29001,1,10,25437,4911,
29003,0,0,17358,4296,
29005,1,0,5335,1721,
29007,1,0,25763,6046,
29009,2,0,35398,9615,
29011,1,4,11942,3000,
29013,1,0,16405,4245,
29015,0,0,18918,7360,
29017,0,0,12347,3295,
29019,2,110,174589,28350,
29021,1,21,89425,18624,
29023,2,14,42826,10394,
29025,0,0,9046,2392,
29027,1,0,44793,9537,
29029,1,18,44855,15571,
29031,2,32,78013,16826,
29033,1,0,8909,2477,
29035,0,0,6255,1620,
29037,2,9,101888,22296,
29039,1,0,13862,3982,
29041,0,0,7586,2288,
29043,0,0,83028,16810,
29045,0,0,6807,1916,
29047,3,172,236068,44493,
29049,1,5,20495,4743,
29051,2,25,76749,16261,
29053,1,0,17620,4083,
29055,0,0,24387,5953,
29057,0,0,7581,2250,
29059,0,0,16441,4324,
29061,0,0,8300,2185,
29063,0,0,12564,2717,
29065,1,0,15566,4322,
29067,0,0,13391,3895,
29069,0,0,30905,7240,
29071,2,13,102413,22817,
29073,1,0,14769,4445,
29075,1,0,6688,1683,
29077,2,163,286759,60988,
29079,1,0,10111,2793,
29081,1,0,8615,2484,
29083,1,8,21834,5958,
29085,0,0,9352,3794,
29087,0,0,4499,1389,
29089,0,0,10144,2395,
29091,2,12,40139,9866,
29093,1,0,10286,2880,
29095,9,274,688554,136794,
